Название награды;РАЗР_Награда_эскиз_исполнитель;РАЗР_Награда_эскиз_датан;РАЗР_Награда_эскиз_датак;РАЗР_Награда_эскиз_примечание;РАЗР_Награда_перевод в объём_исполнитель;РАЗР_Награда_перевод в объём_датан;РАЗР_Награда_перевод в объём_датак;РАЗР_Награда_перевод в объём_примечание;РАЗР_Награда_положение_чек;РАЗР_Награда_положение_файл;РАЗР_Награда_положение_дата;РАЗР_Дизайн коробки_исполнитель;РАЗР_Дизайн коробки_датан;РАЗР_Дизайн коробки_датак;РАЗР_Дизайн коробки_примечание;РАЗР_Дизайн значка_исполнитель;РАЗР_Дизайн значка_датан;РАЗР_Дизайн значка_датак;РАЗР_Дизайн значка_примечание;РАЗР_Ложемент_исполнитель;РАЗР_Ложемент_датан;РАЗР_Ложемент_датак;РАЗР_Ложемент_примечание;РАЗР_Удостоверение_исполнитель;РАЗР_Удостоверение_датан;РАЗР_Удостоверение_датак;РАЗР_Удостоверение_примечание;РАЗР_Вкладыш_исполнитель;РАЗР_Вкладыш_датан;РАЗР_Вкладыш_датак;РАЗР_Вкладыш_примечание;РАЗР_Запонки_исполнитель;РАЗР_Запонки_датан;РАЗР_Запонки_датак;РАЗР_Запонки_примечание;РАЗР_Кулон_исполнитель;РАЗР_Кулон_датан;РАЗР_Кулон_датак;РАЗР_Кулон_примечание;РАЗР_Значок_исполнитель;РАЗР_Значок_датан;РАЗР_Значок_датак;РАЗР_Значок_примечание;РАЗР_закрытие;Медаль;ППЗ
ППЗ Оруджева С.А.;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False;True
ППЗ для тестов ФУ;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False;True
Маганова Р.У.;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;False;True
ППЗ Конторовича А.Э.;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False;True
За мужество при выполнении боевых задач в условиях СВО;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;False
За проявленное мужество при выполнении боевых задач в период СВО;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;False
Медаль Z за мужество при выполнении задач в период СВО;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;False
Медаль за мужество при выполнении задач в период СВО;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;False
За мужество при выполнении задач в период СВО;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;False
Медаль Голубкова С.В.;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;False
Голубкова С.В.;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;False
Медаль 300 лет российской нефти;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;False
Медаль Грайфера В.И. - I;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;True;False
Медаль Грайфера В.И. - II;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;False
Медаль Грайфера В.И. - III;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;False
Медаль за освоение недр Западной Сибири;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;False
Медаль Лемаева Н.В.;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;False
Медаль Михельсона В.З.;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;False
Медаль Непорожнего П.С.;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;False
Медаль Оруджева С.А.;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;False
Медаль Трофимука А.А.;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;False
Медаль Хаджиева С.Н.;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;False
ППЗ Грайфера В.И.;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False;True
ППЗ за освоение недр Западной Сибири;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False;False
ППЗ Михельсона В.З.;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False;True
