Название награды;СОГЛ_НК_чек;СОГЛ_НК_положение_дата;СОГЛ_НК_положение_№ протокола;СОГЛ_НК_положение_чек;СОГЛ_НК_эскиз награды_дата;СОГЛ_НК_эскиз награды_№ протокола;СОГЛ_НК_эскиз награды_чек;СОГЛ_НК_эскиз значка_дата;СОГЛ_НК_эскиз значка_№ протокола;СОГЛ_НК_эскиз значка_чек;СОГЛ_НК_дизайн коробки_дата;СОГЛ_НК_дизайн коробки_№ протокола;СОГЛ_НК_дизайн коробки_чек;СОГЛ_НК_дизайн удостоверения_дата;СОГЛ_НК_дизайн удостоверения_№ протокола;СОГЛ_НК_дизайн удостоверения_чек;СОГЛ_НК_дизайн вкладыша_дата;СОГЛ_НК_дизайн вкладыша_№ протокола;СОГЛ_НК_дизайн вкладыша_чек;СОГЛ_спонсоры_чек;СОГЛ_родственники_чек;СОГЛ_геральдисты;СОГЛ_НК_учреждение
Медаль 300 лет российской нефти;True;2023-01-20 00:00:00;9;True;2023-04-20 00:00:00;2;True;;0;False;;0;True;;0;True;;0;True;False;False;Не согласовано;
Медаль Грайфера В.И. - I;True;2023-01-20 00:00:00;9;True;2022-05-15 00:00:00;2;True;;0;False;;0;True;;0;True;;0;True;False;False;Согласовано;
Медаль Грайфера В.И. - II;True;2023-01-20 00:00:00;9;True;2022-05-15 00:00:00;2;True;;0;False;;0;True;;0;True;;0;True;False;False;Согласовано;
Медаль Грайфера В.И. - III;True;2023-01-20 00:00:00;9;True;2022-05-15 00:00:00;2;True;;0;False;;0;True;;0;True;;0;True;False;False;Согласовано;
Медаль за освоение недр Западной Сибири;False;;0;False;;0;False;;0;False;;0;False;;0;False;;0;False;False;False;;
Медаль Лемаева Н.В.;True;2023-01-20 00:00:00;9;True;;0;False;;0;False;;0;True;;0;True;;0;True;False;False;Согласовано;
Медаль Михельсона В.З.;True;2023-01-20 00:00:00;9;True;2023-11-30 00:00:00;15;True;2023-11-30 00:00:00;15;True;;0;True;;0;True;;0;True;False;False;Согласовано;
Медаль Непорожнего П.С.;True;2022-02-08 00:00:00;1;True;;0;False;;0;False;;0;True;;0;True;;0;True;False;False;Согласовано;
Медаль Оруджева С.А.;True;2022-07-20 00:00:00;5;True;2022-07-20 00:00:00;5;True;2022-07-20 00:00:00;5;True;;0;True;;0;True;;0;True;False;False;Согласовано;
Медаль Трофимука А.А.;False;;0;False;;0;False;;0;False;;0;False;;0;False;;0;False;False;False;Не согласовано;
Медаль Хаджиева С.Н.;False;2022-02-08 00:00:00;1;True;;0;False;;0;False;;0;True;;0;True;;0;True;False;False;Согласовано;
ППЗ Грайфера В.И.;False;2023-01-20 00:00:00;9;False;;0;False;;0;False;;0;False;;0;False;;0;False;False;False;Не согласовано;
ППЗ за освоение недр Западной Сибири;False;;0;False;;0;False;;0;False;;0;False;;0;False;;0;False;False;False;Согласовано;
ППЗ Михельсона В.З.;True;2023-05-25 00:00:00;11;True;;0;False;;0;False;;0;True;;0;True;;0;True;False;False;Не согласовано;
ППЗ Оруджева С.А.;True;2023-01-20 00:00:00;9;True;;0;False;;0;False;;0;False;;0;False;;0;False;False;False;Согласовано;
ППЗ для тестов ФУ;False;;0;False;;0;False;;0;False;;0;False;;0;False;;0;False;False;False;;
Маганова Р.У.;True;;0;False;;0;False;;0;False;;0;False;;0;False;;0;False;False;False;;
ППЗ Конторовича А.Э.;False;;0;False;;0;False;;0;False;;0;False;;0;False;;0;False;False;False;;
