Название награды;ФИО;Согласование;Дата;Место документа;Медаль;ППЗ
Медаль Грайфера В.И. - I;;False;;;True;False
Медаль Грайфера В.И. - II;;False;;;True;False
Медаль Грайфера В.И. - III;;False;;;True;False
Медаль Лемаева Н.В.;;False;;;True;False
Медаль Михельсона В.З.;;False;;;True;False
Медаль Непорожнего П.С.;;False;;;True;False
Медаль Оруджева С.А.;;False;;;True;False
Медаль Хаджиева С.Н.;;False;;;True;False
Медаль Трофимука А.А.;;False;;;True;False
Медаль 300 лет российской нефти;;False;;;True;False
ППЗ Михельсона В.З.;;False;;;False;True
ППЗ Оруджева С.А.;;False;;;False;True
ППЗ за освоение недр Западной Сибири;;False;;;False;True
ППЗ Грайфера В.И.;;False;;;False;True
ППЗ для тестов ФУ;;False;;;False;True
ППЗ для тестов ФУ;;False;;;False;True
ППЗ для тестов ФУ;;False;;;False;True
ППЗ для тестов ФУ;;False;;;False;True
Маганова Р.У.;;False;;;False;True
Маганова Р.У.;;False;;;False;True
ППЗ Конторовича А.Э.;;False;;;False;True
За мужество при выполнении боевых задач в условиях СВО;;False;;;True;False
За мужество при выполнении боевых задач в условиях СВО;;False;;;True;False
За мужество при выполнении боевых задач в условиях СВО;;False;;;True;False
За мужество при выполнении боевых задач в условиях СВО;;False;;;True;False
За мужество при выполнении боевых задач в условиях СВО;;False;;;True;False
За мужество при выполнении боевых задач в условиях СВО;;False;;;True;False
За мужество при выполнении боевых задач в условиях СВО;;False;;;True;False
За проявленное мужество при выполнении боевых задач в период СВО;;False;;;True;False
За проявленное мужество при выполнении боевых задач в период СВО;;False;;;True;False
Медаль Z за мужество при выполнении задач в период СВО;;False;;;True;False
Медаль за мужество при выполнении задач в период СВО;;False;;;True;False
За мужество при выполнении задач в период СВО;;False;;;True;False
За мужество при выполнении задач в период СВО;;False;;;True;False
Медаль Голубкова С.В.;;False;;;True;False
Голубкова С.В.;;False;;;True;False
