Название награды;Медаль;ППЗ;Тип комплекта;Количество в наличии
ППЗ Грайфера В.И.;False;True;ППЗ - стандарт;0
Тест_медаль;True;False;Медаль - женский - НУВ_К;0
Тест_медаль;True;False;Медаль - женский - УВ_К;0
Тест_медаль;True;False;Медаль - мужской - НУВ_К;0
Тест_медаль;True;False;Медаль - мужской - УВ_К;0
Тест_медаль;True;False;Медаль - стандарт - НУВ_К;0
Тест_медаль;True;False;Медаль - стандарт - УВ_К;0
Тест_ППЗ;False;True;ППЗ - стандарт;0
ППЗ для тестов ФУ;False;True;ППЗ - стандарт;0
Маганова Р.У.;False;True;ППЗ - стандарт;0
ППЗ Конторовича А.Э.;False;True;ППЗ - стандарт;0
